Message,Intent
Calculate 6 * 2,multiplication
Divide 12 by 6,division
What's 19 plus 3?,addition
Subtract 3.5 from 7.8,subtraction
What is 8 times 1?,multiplication
Divide 8 by 8,division
Calculate 32 + 3,addition
12 minus 2,subtraction
Multiply 7 and 2,multiplication
Find the value of 14 / 2,division
Add 19 and 3,addition
What is 26 - 3?,subtraction
Calculate 5 * 2,multiplication
Divide 10 by 5,division
What's 20 plus 3?,addition
Subtract 3.5 from 7.8,subtraction
What is 7 times 1?,multiplication
Divide 7 by 7,division
Calculate 30 + 3,addition
10 minus 1,subtraction
Multiply 8 and 1,multiplication
Find the quotient of 8 / 1,division
Add 18 and 2,addition
What is 24 - 2?,subtraction
Calculate 6 * 2,multiplication
Divide 12 by 6,division
What's 19 plus 2?,addition
Subtract 3.5 from 7.8,subtraction
What is 8 times 1?,multiplication
Divide 8 by 8,division
Calculate 32 + 2,addition
12 minus 1,subtraction
Multiply 7 and 1,multiplication
Find the value of 7 / 1,division
Add 17 and 2,addition
What is 26 - 2?,subtraction
Calculate 5 * 2,multiplication
Divide 10 by 5,division
What's 20 plus 2?,addition
Subtract 3.5 from 7.8,subtraction
What is 7 times 1?,multiplication
Divide 7 by 7,division
Calculate 30 + 2,addition
10 minus 1,subtraction
Multiply 8 and 1,multiplication
Find the quotient of 8 / 1,division
Add 16 and 2,addition
What is 24 - 2?,subtraction
Calculate 6 * 2,multiplication
Divide 12 by 6,division
What's 18 plus 2?,addition
Subtract 3.5 from 7.8,subtraction
What is 8 times 1?,multiplication
Divide 8 by 8,division
Calculate 32 + 2,addition
12 minus 1,subtraction
Multiply 7 and 1,multiplication
Find the value of 7 / 1,division
Add 15 and 2,addition
What is 26 - 2?,subtraction
Calculate 5 * 2,multiplication
Divide 10 by 5,division
What's 19 plus 2?,addition
Subtract 3.5 from 7.8,subtraction
What is 8 times 1?,multiplication
Divide 8 by 8,division
Calculate 32 + 2,addition
12 minus 1,subtraction
Multiply 7 and 1,multiplication
Find the quotient of 7 / 1,division
Add 14 and 2,addition
What is 24 - 2?,subtraction
Calculate 6 * 2,multiplication
Divide 12 by 6,division
What's 18 plus 2?,addition
Subtract 3.5 from 7.8,subtraction
What is 8 times 1?,multiplication
Divide 8 by 8,division
Calculate 32 + 2,addition
12 minus 1,subtraction
Multiply 7 and 1,multiplication
Find the value of 7 / 1,division
Add 13 and 2,addition
What is 26 - 2?,subtraction
Calculate 5 * 2,multiplication
Divide 10 by 5,division
What's 19 plus 2?,addition
Subtract 3.5 from 7.8,subtraction
What is 8 times 1?,multiplication
Divide 8 by 8,division
Calculate 32 + 2,addition
12 minus 1,subtraction
Multiply 7 and 1,multiplication
Find the quotient of 7 / 1,division
Add 12 and 2,addition
What is 24 - 2?,subtraction
Calculate 6 * 2,multiplication
Divide 12 by 6,division
What's 18 plus 2?,addition
Subtract 3.5 from 7.8,subtraction
What is 8 times 1?,multiplication
Divide 8 by 8,division
Calculate 32 + 2,addition
12 minus 1,subtraction
Multiply 7 and 1,multiplication
Find the value of 7 / 1,division
Add 11 and 2,addition
What is 26 - 2?,subtraction
Calculate 5 * 2,multiplication
Divide 10 by 5,division
What's 19 plus 2?,addition
Subtract 3.5 from 7.8,subtraction
What is 8 times 1?,multiplication
Divide 8 by 8,division
Calculate 32 + 2,addition
12 minus 1,subtraction
Multiply 7 and 1,multiplication
Find the quotient of 7 / 1,division
